,,1,,,,,2',,,,,5',,,,,4,,,,,7',,,,,3
X,Y,Z,,,,,6',,,,,,,,,,,,,,,,,,,,
505.516,94.952,56.096,,,,,,,,,,,,,,,,,,,,,,,,,
500.503,86.268,56.096,,,,,,,,,,,,,,,,,,,,,,,,,
500.503,86.268,56.096,,,,,,,,,,,,,,,,,,,,,,,,,
495.489,77.585,56.096,,,,,,,,,,,,,,,,,,,,,,,,,
495.489,77.585,56.096,,,,,,,,,,,,,,,,,,,,,,,,,
490.476,68.901,56.096,,,,,,,,,,,,,,,,,,,,,,,,,
490.476,68.901,56.096,,,,,,,,,,,,,,,,,,,,,,,,,
485.462,60.217,56.096,,,,,,,,,,,,,,,,,,,,,,,,,
485.462,60.217,56.096,,,,,,,,,,,,,,,,,,,,,,,,,
480.449,55.405,56.096,,,,,,,,,,,,,,,,,,,,,,,,,
480.449,55.405,56.096,,,,,,,,,,,,,,,,,,,,,,,,,
478.815,54.363,56.096,,,,,,,,,,,,,,,,,,,,,,,,,
478.815,54.363,56.096,,,,,,,,,,,,,,,,,,,,,,,,,
473.675,63.266,56.096,,,,,,,,,,,,,,,,,,,,,,,,,
473.675,63.266,56.096,,,,,,,,,,,,,,,,,,,,,,,,,
468.534,72.17,56.096,,,,,,,,,,,,,,,,,,,,,,,,,
468.534,72.17,56.096,,,,,,,,,,,,,,,,,,,,,,,,,
463.394,81.073,56.096,,,,,,,,,,,,,,,,,,,,,,,,,
463.394,81.073,56.096,,,,,,,,,,,,,,,,,,,,,,,,,
458.254,89.976,56.096,,,,,,,,,,,,,,,,,,,,,,,,,
458.254,89.976,56.096,,,,,,,,,,,,,,,,,,,,,,,,,
453.114,98.879,56.096,,,,,,,,,,,,,,,,,,,,,,,,,
453.114,98.879,56.096,,,,,,,,,,,,,,,,,,,,,,,,,
447.973,107.782,56.096,,,,,,,,,,,,,,,,,,,,,,,,,
447.973,107.782,56.096,,,,,,,,,,,,,,,,,,,,,,,,,
442.833,116.685,56.096,,,,,,,,,,,,,,,,,,,,,,,,,
442.833,116.685,56.096,,,,,,,,,,,,,,,,,,,,,,,,,
437.693,125.589,56.096,,,,,,,,,,,,,,,,,,,,,,,,,
437.693,125.589,56.096,,,,,,,,,,,,,,,,,,,,,,,,,
432.553,134.492,56.096,,,,,,,,,,,,,,,,,,,,,,,,,
432.553,134.492,56.096,,,,,,,,,,,,,,,,,,,,,,,,,
427.412,143.395,56.096,,,,,,,,,,,,,,,,,,,,,,,,,
427.412,143.395,56.096,,,,,,,,,,,,,,,,,,,,,,,,,
422.272,152.298,56.096,,,,,,,,,,,,,,,,,,,,,,,,,
422.272,152.298,56.096,,,,,,,,,,,,,,,,,,,,,,,,,
417.132,161.201,56.096,,,,,,,,,,,,,,,,,,,,,,,,,
417.132,161.201,56.096,,,,,,,,,,,,,,,,,,,,,,,,,
411.992,170.105,56.096,,,,,,,,,,,,,,,,,,,,,,,,,
411.992,170.105,56.096,,,,,,,,,,,,,,,,,,,,,,,,,
406.851,179.008,56.096,,,,,,,,,,,,,,,,,,,,,,,,,
406.851,179.008,56.096,,,,,,,,,,,,,,,,,,,,,,,,,
401.711,187.911,56.096,,,,,,,,,,,,,,,,,,,,,,,,,
401.711,187.911,56.096,,,,,,,,,,,,,,,,,,,,,,,,,
396.571,196.814,56.096,,,,,,,,,,,,,,,,,,,,,,,,,
396.571,196.814,56.096,,,,,,,,,,,,,,,,,,,,,,,,,
391.431,205.717,56.096,,,,,,,,,,,,,,,,,,,,,,,,,
391.431,205.717,56.096,,,,,,,,,,,,,,,,,,,,,,,,,
386.29,214.621,56.096,,,,,,,,,,,,,,,,,,,,,,,,,
386.29,214.621,56.096,,,,,,,,,,,,,,,,,,,,,,,,,
381.15,223.524,56.096,,,,,,,,,,,,,,,,,,,,,,,,,
381.15,223.524,56.096,,,,,,,,,,,,,,,,,,,,,,,,,
376.01,232.427,56.096,,,,,,,,,,,,,,,,,,,,,,,,,
376.01,232.427,56.096,,,,,,,,,,,,,,,,,,,,,,,,,
370.87,241.33,56.096,,,,,,,,,,,,,,,,,,,,,,,,,
370.87,241.33,56.096,,,,,,,,,,,,,,,,,,,,,,,,,
365.729,250.233,56.096,,,,,,,,,,,,,,,,,,,,,,,,,
365.729,250.233,56.096,,,,,,,,,,,,,,,,,,,,,,,,,
360.589,259.136,56.096,,,,,,,,,,,,,,,,,,,,,,,,,
360.589,259.136,56.096,,,,,,,,,,,,,,,,,,,,,,,,,
355.449,268.04,56.096,,,,,,,,,,,,,,,,,,,,,,,,,
355.449,268.04,56.096,,,,,,,,,,,,,,,,,,,,,,,,,
360.364,265.202,64.668,,,,,,,,,,,,,,,,,,,,,,,,,
360.364,265.202,64.668,,,,,,,,,,,,,,,,,,,,,,,,,
365.278,262.365,73.24,,,,,,,,,,,,,,,,,,,,,,,,,
365.278,262.365,73.24,,,,,,,,,,,,,,,,,,,,,,,,,
370.193,259.527,81.812,,,,,,,,,,,,,,,,,,,,,,,,,
370.193,259.527,81.812,,,,,,,,,,,,,,,,,,,,,,,,,
375.108,256.689,90.384,,,,,,,,,,,,,,,,,,,,,,,,,
375.108,256.689,90.384,,,,,,,,,,,,,,,,,,,,,,,,,
380.023,253.852,98.956,,,,,,,,,,,,,,,,,,,,,,,,,
